Solution,Round,Image Quality,Gender Fitness,Ethnicity Fitness,Duration,CPU Energy,GPU Energy
"{'denoising_steps': 47, 'guidance_scale': 14, 'positive_prompt': [1003, 1903, 212], 'negative_prompt': [11582, 725, 194], 'weight': 1, 'seed': 500}",round_3,0.5856666666666668, 0.10000000000000003, 0.36956521739130443,33.14131832122803,0.0001981075107081,0.001232494319328
"{'denoising_steps': 26, 'guidance_scale': 5, 'positive_prompt': [89, 965, 117], 'negative_prompt': [7744, 921, 207], 'weight': 4, 'seed': 439}",round_1,0.7969565217391303, 0.10000000000000003, 0.7,33.13625693321228,0.0001973597464987,0.0012289048720117
"{'denoising_steps': 29, 'guidance_scale': 11, 'positive_prompt': [534, 1699, 113], 'negative_prompt': [1875, 888, 225], 'weight': 7, 'seed': 190}",round_1,0.782608695652174, 0.7, 0.6,33.14206075668335,0.0001985036279694,0.0012254609803683
"{'denoising_steps': 48, 'guidance_scale': 5, 'positive_prompt': [537, 1436, 254], 'negative_prompt': [5477, 782, 137], 'weight': 1, 'seed': 34}",round_1,0.7404000000000001, 0.39999999999999997, 0.6000000000000001,33.13971972465515,0.0001984117531737,0.0012281334825061
"{'denoising_steps': 29, 'guidance_scale': 11, 'positive_prompt': [534, 1699, 113], 'negative_prompt': [1875, 888, 225], 'weight': 7, 'seed': 190}.1",round_1,0.7384000000000002, 0.8, 0.5,33.14329767227173,0.0001984219598485,0.0012315148741004
"{'denoising_steps': 40, 'guidance_scale': 11, 'positive_prompt': [1166, 1037, 175], 'negative_prompt': [1367, 7, 45], 'weight': 3, 'seed': 416}",round_1,0.7285714285714285, 0.39999999999999997, 0.6,33.13625693321228,0.0001973597464987,0.0012289048720117
"{'denoising_steps': 29, 'guidance_scale': 11, 'positive_prompt': [534, 1699, 113], 'negative_prompt': [1875, 888, 225], 'weight': 7, 'seed': 240}",round_1,0.7265217391304348, 1.0, 0.39999999999999997,33.13625693321228,0.0001973597464987,0.0012289048720117
"{'denoising_steps': 48, 'guidance_scale': 4, 'positive_prompt': [534, 1699, 113], 'negative_prompt': [1875, 888, 225], 'weight': 8, 'seed': 139}",round_1,0.7191304347826086, 0.5, 0.5652173913043479,33.1467547416687,0.0001990081505952,0.00123096626255
"{'denoising_steps': 34, 'guidance_scale': 11, 'positive_prompt': [534, 1699, 113], 'negative_prompt': [7226, 915, 50], 'weight': 8, 'seed': 306}",round_1,0.71875, 0.7, 0.5,33.14206075668335,0.0001985036279694,0.0012254609803683
"{'denoising_steps': 40, 'guidance_scale': 13, 'positive_prompt': [537, 1436, 254], 'negative_prompt': [5477, 782, 137], 'weight': 3, 'seed': 174}",round_1,0.7084, 0.0, 0.7,33.14981818199158,0.0001997634931439,0.001227371537452
"{'denoising_steps': 40, 'guidance_scale': 11, 'positive_prompt': [1166, 1037, 175], 'negative_prompt': [15545, 714, 165], 'weight': 8, 'seed': 416}",round_1,0.7053846153846154, 0.7, 0.29999999999999993,33.13867664337158,0.0001978037426873,0.0012277295932938
"{'denoising_steps': 29, 'guidance_scale': 11, 'positive_prompt': [1162, 1997, 173], 'negative_prompt': [15545, 714, 165], 'weight': 8, 'seed': 306}",round_1,0.6885714285714285, 0.6000000000000001, 0.3999999999999999,33.14345359802246,0.000198158678249,0.0012310276514879
"{'denoising_steps': 27, 'guidance_scale': 20, 'positive_prompt': [437, 8, 128], 'negative_prompt': [15545, 714, 165], 'weight': 0, 'seed': 420}",round_1,0.676875, 0.5, 0.5,33.131701946258545,0.0001976265375455,0.0012281945936658
"{'denoising_steps': 40, 'guidance_scale': 5, 'positive_prompt': [1560, 1917, 151], 'negative_prompt': [4625, 871, 233], 'weight': 10, 'seed': 324}",round_1,0.6303703703703704, 0.10000000000000003, 0.6,33.13867664337158,0.0001978037426873,0.0012277295932938
"{'denoising_steps': 50, 'guidance_scale': 20, 'positive_prompt': [1982, 396, 64], 'negative_prompt': [8154, 175, 205], 'weight': 5, 'seed': 420}",round_1,0.6236842105263158, 0.19999999999999996, 0.49999999999999994,33.135504484176636,0.0001973374178698,0.0012321534857222
"{'denoising_steps': 30, 'guidance_scale': 13, 'positive_prompt': [537, 1436, 254], 'negative_prompt': [5477, 782, 137], 'weight': 3, 'seed': 174}",round_1,0.600625, 0.19999999999999996, 0.391304347826087,33.14345359802246,0.000198158678249,0.0012310276514879
"{'denoising_steps': 49, 'guidance_scale': 12, 'positive_prompt': [1448, 1587, 149], 'negative_prompt': [3445, 54, 205], 'weight': 4, 'seed': 222}",round_1,0.5955882352941175, 0.30000000000000004, 0.30000000000000004,33.14345359802246,0.000198158678249,0.0012310276514879
"{'denoising_steps': 37, 'guidance_scale': 13, 'positive_prompt': [1910, 907, 145], 'negative_prompt': [2616, 609, 89], 'weight': 1, 'seed': 297}",round_10,0.7933333333333334, 0.19999999999999996, 0.7,33.12980818748474,0.000196905205024,0.0012299320950561
"{'denoising_steps': 42, 'guidance_scale': 4, 'positive_prompt': [962, 940, 71], 'negative_prompt': [10181, 273, 211], 'weight': 1, 'seed': 297}",round_10,0.7708695652173911, 0.19999999999999996, 0.3913043478260869,33.13124895095825,0.0001982749161198,0.0012262993143723
"{'denoising_steps': 33, 'guidance_scale': 4, 'positive_prompt': [1895, 1142, 162], 'negative_prompt': [3391, 1001, 68], 'weight': 5, 'seed': 297}",round_10,0.7445454545454543, 0.10000000000000003, 0.8,30.479910373687744,0.0001828665165708,0.0011296106259104
"{'denoising_steps': 37, 'guidance_scale': 8, 'positive_prompt': [971, 2040, 80], 'negative_prompt': [5599, 629, 160], 'weight': 6, 'seed': 127}",round_10,0.7239130434782609, 0.0, 0.5652173913043478,30.500200986862183,0.0001830908031391,0.0011356359085081
"{'denoising_steps': 41, 'guidance_scale': 20, 'positive_prompt': [590, 516, 251], 'negative_prompt': [14548, 183, 38], 'weight': 5, 'seed': 442}",round_10,0.6744444444444444, 0.10000000000000003, 0.5,30.548293590545654,0.000183934646592,0.0011366384093096
"{'denoising_steps': 50, 'guidance_scale': 19, 'positive_prompt': [189, 1337, 55], 'negative_prompt': [15621, 216, 131], 'weight': 3, 'seed': 296}",round_10,0.6539130434782607, 0.8, 0.29999999999999993,30.49030184745789,0.0001829198205024,0.0011321214612518
"{'denoising_steps': 25, 'guidance_scale': 8, 'positive_prompt': [752, 1481, 103], 'negative_prompt': [6728, 329, 217], 'weight': 10, 'seed': 107}",round_10,0.6436363636363635, 0.6000000000000001, 0.29999999999999993,30.478858947753903,0.0001826651005764,0.0011303895154219
"{'denoising_steps': 42, 'guidance_scale': 4, 'positive_prompt': [570, 1017, 102], 'negative_prompt': [3391, 1001, 68], 'weight': 1, 'seed': 297}",round_10,0.625483870967742, 0.10000000000000003, 0.4,30.479910373687744,0.0001828665165708,0.0011296106259104
"{'denoising_steps': 37, 'guidance_scale': 20, 'positive_prompt': [971, 2040, 80], 'negative_prompt': [2768, 518, 207], 'weight': 9, 'seed': 127}",round_10,0.5606250000000002, 0.0, 0.5,30.556578159332275,0.0001837622228429,0.0011328742396319
"{'denoising_steps': 38, 'guidance_scale': 6, 'positive_prompt': [30, 460, 42], 'negative_prompt': [4815, 862, 157], 'weight': 1, 'seed': 153}",round_9,0.7641666666666667, 0.8999999999999999, 1.0,30.49030184745789,0.0001829198205024,0.0011321214612518
"{'denoising_steps': 43, 'guidance_scale': 12, 'positive_prompt': [1669, 1631, 247], 'negative_prompt': [16272, 534, 172], 'weight': 9, 'seed': 402}",round_9,0.7560000000000002, 0.8999999999999999, 0.8,30.49030184745789,0.0001829198205024,0.0011321214612518
"{'denoising_steps': 50, 'guidance_scale': 10, 'positive_prompt': [72, 1207, 118], 'negative_prompt': [4252, 894, 191], 'weight': 1, 'seed': 492}",round_9,0.75, 0.8999999999999999, 0.7,30.49119758605957,0.0001818140348955,0.0011315025718681
"{'denoising_steps': 30, 'guidance_scale': 6, 'positive_prompt': [788, 17, 177], 'negative_prompt': [4331, 207, 103], 'weight': 8, 'seed': 490}",round_9,0.741304347826087, 0.8999999999999999, 0.5,27.921611309051514,0.0001680314730361,0.0010378066635783
"{'denoising_steps': 50, 'guidance_scale': 9, 'positive_prompt': [1811, 1875, 79], 'negative_prompt': [4331, 207, 103], 'weight': 9, 'seed': 507}",round_9,0.7399999999999999, 0.5, 0.7391304347826086,27.93615412712097,0.0001679278660088,0.0010375511078182
"{'denoising_steps': 34, 'guidance_scale': 11, 'positive_prompt': [496, 1709, 83], 'negative_prompt': [14304, 911, 65], 'weight': 0, 'seed': 164}",round_9,0.7296428571428573, 0.8, 0.6000000000000001,27.92478322982788,0.0001676899480407,0.001042279722712
"{'denoising_steps': 26, 'guidance_scale': 11, 'positive_prompt': [1971, 1050, 168], 'negative_prompt': [15511, 790, 218], 'weight': 2, 'seed': 392}",round_9,0.6900000000000001, 0.19999999999999996, 1.0,27.922096014022827,0.000166672663338,0.0010396127761338
"{'denoising_steps': 28, 'guidance_scale': 13, 'positive_prompt': [919, 1075, 109], 'negative_prompt': [8862, 443, 254], 'weight': 6, 'seed': 83}",round_9,0.6892, 0.19999999999999996, 0.5,27.91554307937622,0.0001678615415113,0.001039658887282
"{'denoising_steps': 39, 'guidance_scale': 10, 'positive_prompt': [1350, 579, 108], 'negative_prompt': [16117, 353, 0], 'weight': 9, 'seed': 511}",round_9,0.688, 0.10000000000000003, 0.9,27.921611309051514,0.0001680314730361,0.0010378066635783
"{'denoising_steps': 44, 'guidance_scale': 7, 'positive_prompt': [1418, 530, 249], 'negative_prompt': [15837, 563, 241], 'weight': 0, 'seed': 271}",round_9,0.6819999999999999, 0.0, 1.0,27.92800998687744,0.0001676090765871,0.0010367516627338
"{'denoising_steps': 28, 'guidance_scale': 12, 'positive_prompt': [788, 17, 177], 'negative_prompt': [16272, 534, 172], 'weight': 8, 'seed': 469}",round_9,0.6809999999999999, 1.0, 0.30000000000000004,27.922096014022827,0.000166672663338,0.0010396127761338
"{'denoising_steps': 28, 'guidance_scale': 6, 'positive_prompt': [788, 17, 177], 'negative_prompt': [16272, 534, 172], 'weight': 8, 'seed': 490}",round_9,0.6596875, 0.8, 0.49999999999999994,27.922096014022827,0.000166672663338,0.0010396127761338
"{'denoising_steps': 25, 'guidance_scale': 6, 'positive_prompt': [2037, 1184, 160], 'negative_prompt': [435, 788, 239], 'weight': 1, 'seed': 455}",round_9,0.653, 0.10000000000000003, 0.5,27.916709184646606,0.0001679209657255,0.0010410208328162
"{'denoising_steps': 28, 'guidance_scale': 7, 'positive_prompt': [2005, 710, 189], 'negative_prompt': [1089, 958, 58], 'weight': 6, 'seed': 313}",round_9,0.6518181818181817, 0.0, 0.8,31.094646453857425,0.0001866083209532,0.0011621131519121
"{'denoising_steps': 25, 'guidance_scale': 17, 'positive_prompt': [788, 17, 177], 'negative_prompt': [12953, 445, 137], 'weight': 3, 'seed': 241}",round_9,0.6345833333333333, 0.6000000000000001, 0.39999999999999997,31.19586157798767,0.0001879274917307,0.0011636420420244
"{'denoising_steps': 50, 'guidance_scale': 9, 'positive_prompt': [1811, 1875, 79], 'negative_prompt': [4331, 207, 103], 'weight': 6, 'seed': 507}",round_9,0.6185185185185185, 0.0, 0.5434782608695652,31.12668299674988,0.0001860200446492,0.0011600923169616
"{'denoising_steps': 39, 'guidance_scale': 12, 'positive_prompt': [1350, 144, 232], 'negative_prompt': [12127, 426, 190], 'weight': 9, 'seed': 260}",round_9,0.6168, 0.5, 0.49999999999999994,31.104387283325195,0.0001863361893466,0.0011601300947696
"{'denoising_steps': 34, 'guidance_scale': 11, 'positive_prompt': [1499, 1133, 71], 'negative_prompt': [14304, 911, 65], 'weight': 8, 'seed': 164}",round_9,0.6143478260869566, 0.10000000000000003, 0.29999999999999993,31.0937077999115,0.0001861448783602,0.0011610445399456
"{'denoising_steps': 26, 'guidance_scale': 17, 'positive_prompt': [135, 712, 221], 'negative_prompt': [14304, 911, 65], 'weight': 0, 'seed': 130}",round_9,0.5574074074074074, 0.0, 0.5,31.094646453857425,0.0001866083209532,0.0011621131519121
"{'denoising_steps': 26, 'guidance_scale': 20, 'positive_prompt': [2002, 899, 71], 'negative_prompt': [14304, 911, 65], 'weight': 0, 'seed': 467}",round_9,0.5384210526315789, 0.30000000000000004, 0.19999999999999996,31.204283237457275,0.0001873722423976,0.0011606598174158
"{'denoising_steps': 32, 'guidance_scale': 16, 'positive_prompt': [1796, 383, 82], 'negative_prompt': [13135, 894, 74], 'weight': 5, 'seed': 161}",round_5,0.8227777777777776, 0.7, 0.6,31.104387283325195,0.0001863361893466,0.0011601300947696
